strategy,query_id,category,difficulty,query,gold_answer,hit_at_5,kw_cov,mrr,latency_s,answer,n_docs
Sparse (BM25),Q01,direct_module,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",1,0.75,0.5,3.48,The module Advanced Machine Learning is part of the Master in Data Science program at the Technical University of Hamburg.,5
Sparse (BM25),Q02,direct_module,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,1,1.0,0.5,1.07,The Advanced Machine Learning module (L2322) is worth 3 credit points.,5
Sparse (BM25),Q03,direct_module,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,0.333,1.0,3.43,"Based on the provided context, I recommend the Master in Data Science program as it aligns with your interests in Advanced Machine Learning. The program covers topics such as Reinforcement Learning, Programming Paradigms, and additional recommended knowledge and prerequisites like Python programming and data visualization. As a Data Science student, you will have a solid foundation in machine learning concepts, which will be beneficial for your future studies in Advanced Machine Learning.",5
Sparse (BM25),Q04,direct_module,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,1,1.0,0.2,1.35,The Advanced Machine Learning module at TUHH is responsible for Dr. Jens-Peter Zemke.,5
Sparse (BM25),Q05,direct_module,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,0.0,0.0,1.22,"The Advanced Machine Learning module, M1552, uses a combination of lectures and recitation sections.",5
Sparse (BM25),Q06,direct_module,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,0.0,0.0,1.7,"In the Advanced Machine Learning lecture (L2322), topics such as Linear Models and Regression, Big Data, Information Geometry, and Advanced Ethics of Machine Learning are covered.",5
Sparse (BM25),Q07,direct_module,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0.0,0.0,1.23,The Advanced Machine Learning course is offered in semester 4 of the Master in Data Science program.,5
Sparse (BM25),Q08,curriculum_structure,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1.0,1.0,2.82,"According to the provided Module Manual, Advanced Machine Learning is not compulsory for Data Science students. The core qualification contains a seminar (3 CP), a lecture on scientific methods (3 CP), a research project (12 CP), and the interdisciplinary compulsory modules on operations & management (6 CP) and on non-technical courses (6 CP), but not Advanced Machine Learning.",5
Sparse (BM25),Q09,curriculum_structure,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",1,0.667,1.0,4.13,"Based on the provided context, the TUHH programs that include Advanced Machine Learning in their curriculum are:

1. Master in Data Science (M.Sc. ""Data Science"")
2. Master in Computer Science (M.Sc. ""Computer Science"")
3. Master in Data Science (M.Sc. ""Data Science"" - Advanced Ethics of Machine Learning, M.Sc. ""Data Science"" - Machine Learning in Electrical Engineering and Information Technology)

These programs cover Advanced Machine Learning as a core component of their curricula.",5
Sparse (BM25),Q10,curriculum_structure,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,1,0.25,0.25,1.72,"The workload for the Advanced Machine Learning module is 12 CP (Course Points) per semester, which is equivalent to 4 hours of study per week.",5
Sparse (BM25),Q11,curriculum_structure,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,1,0.667,1.0,1.19,The Advanced Machine Learning lecture is scheduled for 2 hours and 3 weeks.,5
Sparse (BM25),Q12,curriculum_structure,hard,What is the difference between Core Qualification and Elective modules in the Data Science program?,Core Qualification modules are compulsory for all program students. Elective modules are optional and allow specialisation in a sub-field.,1,0.667,1.0,6.78,"I don't have enough information about the specific differences between Core Qualification and Elective modules in the Data Science program. However, based on the provided context, it appears that the Core Qualification consists of compulsory modules, while Elective modules offer more flexibility and choice.

In the context of the Data Science program, the Core Qualification is designed to provide a solid foundation in the field, while Elective modules allow students to explore specific areas of interest in more depth. The Elective modules, such as the one on ""Professional Competence"" mentioned in the context, seem to focus on practical skills and knowledge that can be applied in real-world settings.

If you're interested in pursuing a specific area of study, I would recommend exploring the Elective modules that align with your interests. This will give you a better understanding of the program's structure and help you make an informed decision about which modules to take.",5
Sparse (BM25),Q13,curriculum_structure,hard,How many total credit points are needed to finish the Data Science master?,120 credit points — standard for a 4-semester German M.Sc.,1,0.5,1.0,2.26,"To finish the Data Science master, you need to complete the core qualification, which consists of 66 credit points. You also need to choose 18 credit points from the catalog of the specialization ""Materials Science and Engineering"".",5
