strategy,query_id,category,difficulty,query,gold_answer,hit_at_5,kw_cov,mrr,latency_s,answer,n_docs
Sparse (BM25),Q01,direct_module,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",1,0.75,1.0,17.32,"The module ""Advanced Machine Learning"" (M1552) covers topics such as Linear Models and Regression, Big Data, Information Geometry, and Advanced Ethics of Machine Learning. It is a part of the Master's program in Data Science at TUHH.

This module seems to match your interests if you are looking to deepen your knowledge in machine learning and its applications, particularly focusing on advanced techniques and ethical considerations.",5
Sparse (BM25),Q02,direct_module,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,1,1.0,1.0,2.96,The Advanced Machine Learning module (L2322/L2323) is worth 6 credit points.,5
Sparse (BM25),Q03,direct_module,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,0.667,0.25,6.43,"The recommended previous knowledge for Advanced Machine Learning (L2322/L2323) in the Master's program ""Data Science"" is:

1. Mathematics I-III
2. Numerical Mathematics 1/ Numerics",5
Sparse (BM25),Q04,direct_module,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,1,1.0,1.0,4.55,The Advanced Machine Learning module at TUHH is responsible by Dr. Jens-Peter Zemke.,5
Sparse (BM25),Q05,direct_module,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,0.0,0.0,3.63,The Advanced Machine Learning module uses a combination of theoretical and practical work for examination.,5
Sparse (BM25),Q06,direct_module,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,0.0,0.0,4.24,"The Advanced Machine Learning (L2322) lecture covers topics such as Linear Models and Regression, Big Data, and Information Geometry.",5
Sparse (BM25),Q07,direct_module,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0.0,0.0,5.82,"The Advanced Machine Learning course (L2322/L2323) is offered in semester 3 (year 2), depending on the partner institution chosen.",5
Sparse (BM25),Q08,curriculum_structure,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1.0,1.0,13.35,"According to the Module Manual, Advanced Machine Learning is listed as an elective course under the Specialisation IV ""Special Focus Area"" of the Data Science program. This means that it is not a compulsory course for Data Science students, but rather an optional module that can be taken as part of their curriculum.

However, I would recommend taking M1552: Advanced Machine Learning if you're interested in deepening your knowledge in machine learning techniques and algorithms, as it aligns with the Specialisation IV ""Special Focus Area"" of the Data Science program. This specialization is likely to appeal to students who want to focus on advanced machine learning methods and their applications in data science.",5
Sparse (BM25),Q09,curriculum_structure,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",1,0.333,0.25,12.94,"The TUHH program that includes Advanced Machine Learning (L2322) in its curriculum is the Master's program ""Data Science"". This program matches your interests because it covers a wide range of topics related to machine learning, including Linear Models and Regression, Big Data, and Information Geometry. Additionally, the module also offers an optional course on Advanced Ethics of Machine Learning, which suggests that the program values the responsible use of machine learning techniques.

Another option is the Master's program ""Mechatronics"", but it only includes one course on Advanced Machine Learning (L2323), whereas the Data Science program covers more topics related to machine learning.",5
Sparse (BM25),Q10,curriculum_structure,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,1,0.75,0.2,5.85,"The workload for the Advanced Machine Learning (M1552) module is as follows:

- Independent Study Time: 62 hours
- Study Time in Lecture: 28 hours",5
Sparse (BM25),Q11,curriculum_structure,medium,How many hours per week is the Advanced Machine Learning lecture?,2 hours/week lecture + 2 hours/week recitation (small group) = 4 hrs/wk total.,1,1.0,1.0,3.07,The Advanced Machine Learning lecture has a weekly time commitment of 2 hours.,5
