strategy,query_id,difficulty,query,gold_answer,Accuracy@1,Recall@5,Recall@10,MRR,Latency_s,generated_answer,retrieved_top_chunk,hyde_hypothetical
Sparse (BM25),Q01,easy,What is the module Advanced Machine Learning about?,"Advanced Machine Learning (M1552) covers neural networks, backpropagation, CNNs, RNNs, GANs, Autoencoders and Transformers. It is worth 6 CP, examined by a 90-minute written exam, and taught in English in the winter semester.",0,1,1,0.333,6.24,"The module Advanced Machine Learning (L2322) is part of both the Master's program in Data Science and Mechatronics.  |  | In the context of the Data Science program, it covers a key aspect of machine learning, likely focusing on advanced techniques and applications. |  | In the context of the Mechat","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q02,easy,How many credit points is the Advanced Machine Learning module worth?,6 credit points (CP).,0,1,1,0.25,1.29,The Advanced Machine Learning module is worth 6 credit points.,"Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q03,easy,What are the recommended prerequisites for Advanced Machine Learning?,"Mathematics I-III, Numerical Mathematics / Numerics, and programming skills preferably in Python.",1,1,1,1.0,3.54,"The recommended prerequisites for Advanced Machine Learning, as stated in the Module Manual M.Sc. ""Data Science"", are: |  | Lectures at TUHH: | Machine Learning I and II | Programming Paradigms |  | Additionally, Python programming, including libraries for neural networks, deep learning, and data visualization (e",Module M2001: Reinforcement Learning |  | Courses |  | Title |  | Reinforcement Learning (L3305) |  | Reinforcement Learning (L3306) |  | Module Responsible Dr. Manfred Eppe |  | Admission Requirements None |  | Recommended Previous |  | Knowledge |  | Lectures at TUHH: |  | Machine Learning I and II |  | Advanced Machine Learning |  | Programming Paradigms |  | Additional recommended knowledge and prerequisites: |  | Typ |  | Lecture |  | Project-/problem-based Learning |  | Hrs/wk |  | 2 |  | ,N/A
Sparse (BM25),Q04,easy,Who is responsible for the Advanced Machine Learning module at TUHH?,Dr. Jens-Peter Zemke.,0,1,1,0.5,3.58,"The Advanced Machine Learning module is part of the Master in Data Science program, which covers a broad range of topics including machine learning, data science, and big data. This program seems to match your interests if you're looking to develop skills in these areas. |  | Advanced Machine Learning is one of the compulsory modules","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q05,easy,What type of examination does the Advanced Machine Learning module use?,"Written exam, 90 minutes.",0,1,1,0.2,2.35,"The Advanced Machine Learning module uses a project-/problem-based learning approach, with 4 hours of work per week.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q06,medium,What topics are taught in the Advanced Machine Learning lecture?,Basics of neural nets; feedforward networks and backpropagation; CNNs; RNNs; adversarial attacks; residual networks; neural ODEs; autoencoders; GANs; attention and transformers.,0,1,1,0.5,3.45,"The Advanced Machine Learning lecture is part of two different modules: |  | 1. Master's program ""Data Science"": This module covers various aspects of machine learning, including its applications and techniques. | 2. Master's program ""Computer Science"" (separately listed): The same Advanced Machine Learning topics are taught in","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q07,easy,In which semester is the Advanced Machine Learning course offered?,Winter semester (WiSe).,0,0,0,0.0,2.66,"The Advanced Machine Learning course (L2322) is offered in semester 3 (year 2), as part of the Computer Science module.","The course content of semester 3 (year 2) depends on which partner institution is chosen. Based on their speciﬁc core competencies each partner oﬀers | courses which complement / deepen the  study program of the first year. |  | In semester 4 all students undertake a thesis project at the institution where they spent the 3rd semester. |  |  | Module Manual M.Sc. ""Global Technology and Innovation Management & | Entrepreneurship"" |  | Core Qualification",N/A
Sparse (BM25),Q08,medium,Is Advanced Machine Learning compulsory for Data Science students?,Yes — it is listed as Core Qualification: Compulsory in the Data Science curriculum.,1,1,1,1.0,2.43,"Yes, Advanced Machine Learning is a compulsory module for Data Science students as part of the core qualification.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
Sparse (BM25),Q09,medium,Which TUHH programs include Advanced Machine Learning in their curriculum?,"Computational Methods and Machine Learning in Engineering, Computer Science, Data Science, Interdisciplinary Mathematics, Mechatronics, Technomathematics I and II, and Theoretical Mechanical Engineering.",0,0,0,0.0,3.4,"The Advanced Machine Learning module is part of the following programs at TUHH: |  | 1. Master in Data Science | 2. Master in Computer Science |  | Both programs match a student's interest in machine learning, as they offer courses and modules that cover various aspects of this field. The Master in Data Science program","Following Curricula |  |  | Module Manual M.Sc. ""Data Science"" |  | Module M2073: Advanced Ethics of Machine Learning |  | Courses |  | Title |  | Advanced Ethics of Machine Learning (L3399) |  | Case Studies in Advanced Ethics of Machine Learning (L3400) |  | Module Responsible Prof. Maximilian Kiener |  | Admission Requirements None |  | Recommended Previous |  | Basics of machine learning |  | Knowledge |  | Typ |  | Lecture |  | Seminar |  | Hrs/wk |  | 2 |  | 2 |  | CP |  | 3 |  | 3",N/A
Sparse (BM25),Q10,medium,What is the workload for the Advanced Machine Learning module?,Total workload 124 hours: Independent Study Time 62 h + Study Time in Lecture 28 h for the course component.,0,0,0,0.0,2.57,"The workload for the Advanced Machine Learning module is 3 CP (Credit Points) per week, with a total of 6 CP in the Core Qualification.","Core Qualification (66 CP in total) |  | The core qualification contains the compulsory modules (each 6 CP): |  |  | Module Manual M.Sc. ""Data Science"" |  | Advanced Machine Learning | Linear Models and Regression | Big Data | Information Geometry | Advanced Ethics of Machine Learning",N/A
